"","LSOA21CD","IMD_2025_decile","IMD_2025_score"
"20169","E01021239",10,0.832
"20170","E01021240",8,8.404
"20171","E01021241",5,20.514
"20172","E01021242",9,5.693
"20173","E01021243",10,2.293
"20174","E01021244",10,2.668
"20175","E01021245",3,30.453
"20176","E01021246",10,3.692
"20177","E01021247",10,3.521
"20178","E01021248",10,4.742
"20179","E01021249",10,2.868
"20180","E01021250",10,2.292
"20181","E01021251",10,2.272
"20182","E01021252",9,5.883
"20183","E01021253",10,1.581
"20184","E01021254",9,6.164
"20185","E01021255",10,4.708
"20186","E01021256",10,2.325
"20187","E01021257",9,7.42
"20188","E01021258",5,18.167
"20189","E01021259",8,10.428
"20190","E01021260",3,32.693
"20191","E01021261",6,14.485
"20192","E01021262",5,20.916
"20193","E01021263",6,16.292
"20194","E01021264",7,11.569
"20195","E01021265",4,24.088
"20196","E01021266",3,28.018
"20197","E01021267",3,28.129
"20198","E01021268",2,37.608
"20199","E01021269",4,22.037
"20200","E01021270",3,32.006
"20201","E01021271",1,60.689
"20202","E01021272",4,26.586
"20203","E01021273",3,30.605
"20204","E01021274",4,25.976
"20205","E01021275",7,13.954
"20206","E01021276",4,21.735
"20207","E01021277",4,24.922
"20208","E01021279",2,34.362
"20209","E01021280",9,5.88
"20210","E01021281",9,6.405
"20211","E01021282",9,7.493
"20212","E01021283",2,34.512
"20213","E01021284",10,5.136
"20214","E01021285",10,5.278
"20215","E01021286",2,36.655
"20216","E01021287",5,19.05
"20217","E01021288",1,46.373
"20218","E01021289",3,31.849
"20219","E01021290",1,47.585
"20220","E01021291",4,26.17
"20221","E01021292",3,32.316
"20222","E01021293",3,27.275
"20223","E01021294",8,9.417
"20224","E01021295",4,25.997
"20225","E01021297",6,15.074
"20226","E01021298",5,17.646
"20227","E01021299",8,9.009
"20228","E01021300",2,35.462
"20229","E01021301",2,42.879
"20230","E01021302",1,58.423
"20231","E01021303",3,30.705
"20232","E01021304",1,51.883
"20233","E01021305",2,43.373
"20234","E01021306",1,49.336
"20235","E01021307",3,30.079
"20236","E01021308",6,15.934
"20237","E01021309",4,24.35
"20238","E01021310",4,23.748
"20239","E01021311",2,41.179
"20240","E01021312",2,40.194
"20241","E01021313",6,15.048
"20242","E01021314",2,39.74
"20243","E01021315",2,41.119
"20244","E01021316",2,42.273
"20245","E01021317",2,41.462
"20246","E01021318",2,42.559
"20247","E01021319",3,27.72
"20248","E01021320",2,37.123
"20249","E01021321",3,29.845
"20250","E01021322",2,43.141
"20251","E01021323",1,48.089
"20252","E01021324",1,48.45
"20253","E01021325",1,52.076
"20254","E01021326",3,30.456
"20255","E01021327",2,41.122
"20256","E01021328",3,31.568
"20257","E01021329",5,18.115
"20258","E01021330",8,10.24
"20259","E01021331",6,16.476
"20260","E01021332",9,5.742
"20261","E01021333",9,6.591
"20262","E01021334",8,10.599
"20263","E01021335",9,7.223
"20264","E01021336",8,9.489
"20265","E01021337",9,7.07
"20266","E01021338",6,15.346
"20267","E01021339",3,27.032
"20268","E01021340",9,8.372
"20269","E01021341",9,7.701
"20270","E01021342",3,26.914
"20271","E01021343",6,15.655
"20272","E01021344",5,20.999
"20273","E01021345",9,5.973
"20274","E01021346",10,5.069
"20275","E01021347",7,11.276
"20276","E01021348",6,16.627
"20277","E01021349",7,11.679
"20278","E01021350",8,9.897
"20279","E01021351",9,5.683
"20280","E01021352",8,8.972
"20281","E01021353",6,15.991
"20282","E01021354",2,35.858
"20283","E01021355",5,17.646
"20284","E01021356",6,17.44
"20285","E01021357",5,20.124
"20286","E01021358",4,25.454
"20287","E01021359",3,29.922
"20288","E01021360",4,25.453
"20289","E01021361",7,13.754
"20290","E01021362",6,14.271
"20291","E01021364",8,8.547
"20292","E01021365",4,23.875
"20293","E01021366",10,4.042
"20294","E01021367",3,27.387
"20295","E01021368",4,23.198
"20296","E01021369",7,13.63
"20297","E01021370",2,34.987
"20298","E01021371",9,7.872
"20299","E01021372",7,13.532
"20300","E01021374",3,28.235
"20301","E01021375",6,15.624
"20302","E01021376",9,8.321
"20303","E01021377",6,15.526
"20304","E01021378",4,23.068
"20305","E01021379",9,7.687
"20306","E01021380",4,21.61
"20307","E01021381",8,11.101
"20308","E01021382",9,7.967
