"LSOA11CD","IMD_2019_decile","IMD_2019_score"
"E01001013",1,46.101
"E01001710",2,33.511
"E01001773",2,38.205
"E01000860",5,17.703
"E01000830",10,3.748
"E01006481",1,49.921
"E01002276",3,29.634
"E01006218",2,39.471
"E01006328",1,47.675
"E01000815",10,2.586
"E01000750",3,30.702
"E01006448",1,75.522
"E01006273",3,30.286
"E01001799",4,26.539
"E01006289",1,55.463
"E01006451",2,43.402
"E01001869",6,14.292
"E01002288",9,6.5
"E01001919",8,8.626
"E01006274",2,38.938
"E01001984",5,19.562
"E01002123",6,17.052
"E01001895",5,19.524
"E01001730",1,45.752
"E01002087",2,35.342
"E01006255",7,14.172
"E01001751",5,18.737
"E01011030",1,43.999
"E01011049",3,27.345
"E01001942",4,24.159
"E01011541",3,31.608
"E01010920",6,15.611
"E01011353",9,6.643
"E01011348",1,63.844
"E01010940",2,38.501
"E01001951",6,17.389
"E01002121",7,11.816
"E01011671",1,50.636
"E01001932",4,25.92
"E01011527",8,10.676
"E01011566",9,8.348
"E01001938",3,27.478
"E01011170",8,9.053
"E01011068",6,14.578
"E01011177",9,8.162
"E01011175",3,30.15
"E01002299",5,19.999
"E01006229",9,8.594
"E01002150",8,10.748
"E01002187",7,12.416
"E01011359",2,36.531
"E01011666",5,20.53
"E01011228",5,21.324
"E01011301",9,7.195
"E01011636",6,16.373
"E01011633",6,14.802
"E01011649",10,2.697
"E01031714",9,7.286
"E01031580",9,6.419
"E01023322",5,17.677
"E01023081",6,17.549
"E01031610",4,24.149
"E01031575",4,22.973
"E01031719",9,6.842
"E01031613",8,9.077
"E01023216",5,18.949
"E01023296",4,22.719
"E01015667",3,27.509
"E01023298",7,11.845
"E01023098",7,13.177
"E01023066",8,10.024
"E01023221",7,12.024
"E01023024",10,5.573
"E01033559",5,20.4
"E01033697",1,48.278
"E01031791",4,25.679
"E01031758",10,2.022
"E01031882",7,12.34
"E01031871",6,16.887
"E01033565",5,20.657
"E01031796",6,16.263
"E01032107",9,8.611
"E01031713",10,4.915
"E01032060",9,7.643
"E01032236",3,31.317
"E01032147",7,12.877
"E01031792",7,14.139
"E01031619",10,4.207
"E01016327",7,11.378
"E01016320",8,9.243
"E01016609",8,9.989
"E01016483",5,21.533
"E01017238",2,36.693
"E01017479",6,14.453
"E01016556",6,16.107
"E01017255",6,14.567
"E01023229",9,6.847
"E01017165",2,35.27
"E01017132",2,39.067
"E01017114",6,16.723
"E01017192",4,23.368
"E01016423",3,28.845
"E01016948",4,23.497
"E01016301",6,14.661
"E01016264",7,11.839
"E01023134",9,8.473
"E01016200",10,4.773
"E01016274",8,11.14
"E01015709",7,12.078
"E01016111",1,73.322
"E01016107",9,8.526
"E01016151",4,22.267
"E01023147",9,8.566
"E01017324",5,20.041
"E01017358",5,21.388
"E01023184",7,13.666
"E01023175",10,2.909
"E01016172",9,6.838
"E01029687",9,7.128
"E01029594",4,26.001
"E01029567",4,22.593
"E01029585",7,14.079
"E01029889",3,29.336
"E01029965",7,12.714
"E01029657",10,4.231
"E01029970",5,19.355
"E01010701",1,54.949
"E01010741",3,26.721
"E01010730",1,75.905
"E01010694",10,4.893
"E01010700",1,49.099
"E01029529",6,14.679
"E01010759",2,35.092
"E01030624",10,5.459
"E01030648",7,11.526
"E01030485",9,8.353
"E01030615",4,22.091
"E01030719",5,18.478
"E01011067",7,14.136
"E01030732",7,12.093
"E01030684",6,16.405
"E01030501",9,8.431
"E01030526",9,6.803
"E01029572",10,5.016
"E01029963",9,8.136
"E01030500",10,5.395
"E01030582",8,9.474
"E01030714",6,15.403
"E01016892",6,14.298
"E01016409",7,11.769
"E01016798",10,2.795
"E01016358",3,27.753
"E01031975",3,27.223
"E01032356",9,6.926
"E01016933",7,12.018
"E01016817",6,16.06
"E01016671",10,4.749
"E01016669",10,4.407
"E01031788",5,21.459
"E01031872",7,12.351
"E01016704",6,14.36
"E01032026",9,6.566
"E01016924",9,8.504
"E01010740",2,37.383
"E01029825",7,12.108
"E01031921",10,3.765
"E01031922",9,7.888
"E01029784",9,8.605
"E01029857",4,24.663
"E01010731",1,49.845
"E01029712",9,6.443
"E01032423",3,27.07
"E01032352",7,13.457
"E01031994",9,6.598
"E01032474",2,40.412
"E01032052",9,6.728
"E01031999",9,6.643
"E01032059",8,9.84
"E01024109",7,11.435
"E01023876",3,30.225
"E01024163",5,20.98
"E01024156",5,18.648
"E01024252",7,12.059
"E01024263",2,36.315
"E01023808",8,8.77
"E01023758",2,41.171
"E01032947",9,7.379
"E01032855",8,9.191
"E01033103",10,3.621
"E01033011",3,28.104
"E01024146",9,7.827
"E01024296",4,23.327
"E01024278",1,49.349
"E01033258",1,52.776
"E01022898",10,3.553
"E01033193",9,8.397
"E01033591",3,30.489
"E01032531",1,51.338
"E01032503",8,8.849
"E01033440",2,38.562
"E01032479",4,21.839
"E01022812",7,12.847
"E01033747",1,74.499
"E01022957",4,21.664
"E01022930",9,8.146
"E01033748",6,14.69
"E01033249",2,36.018
"E01022771",10,1.876
"E01017359",5,18.815
"E01017353",5,20.705
"E01018418",5,19.687
"E01017360",3,33.173
"E01030248",2,35.986
"E01017003",9,8.214
"E01016962",9,8.285
"E01016961",7,12.677
"E01030327",10,3.964
"E01030308",10,3.523
"E01017312",4,23.665
"E01017223",7,12.521
"E01018381",8,9.424
"E01017356",2,33.405
"E01017258",4,26.114
"E01023897",8,10.958
"E01023947",7,12.826
"E01023910",8,10.309
"E01023888",7,12.24
"E01033065",8,9.693
"E01032895",10,5.535
"E01023781",4,25.378
"E01024033",5,19.383
"E01030383",4,24.795
"E01017419",10,5.419
"E01016814",7,13.123
"E01017005",10,5.475
"E01030283",5,19.043
"E01017370",4,22.641
"E01030442",10,3.093
"E01023329",7,13.994
"E01023197",9,8.28
"E01023317",6,14.271
"E01023472",6,14.339
"E01009440",8,9.641
"E01009441",3,33.029
"E01023149",8,8.703
"E01023374",10,3.299
"E01023648",10,4.359
"E01023278",10,4.804
"E01021688",6,15.649
"E01023241",9,7.187
"E01006673",1,54.618
"E01006711",1,60.219
"E01006645",1,65.909
"E01017078",3,31.514
"E01017056",8,11.042
"E01009468",8,9.695
"E01007193",7,11.783
"E01017487",5,20.555
"E01017460",9,5.983
"E01016940",10,5.45
"E01017418",6,17.033
"E01006987",9,8.406
"E01007076",6,17.216
"E01009544",4,25.312
"E01007087",1,48.938
"E01007173",5,20.916
"E01007244",2,37.297
"E01007330",5,21.108
"E01022027",1,56.446
"E01022047",3,28.143
"E01032662",2,37.743
"E01022013",9,6.009
"E01022211",6,16.098
"E01007163",5,17.747
"E01022219",10,3.67
"E01022090",6,15.562
"E01032504",10,3.599
"E01032586",5,18.265
"E01033054",6,15.286
"E01033053",10,3.93
"E01022742",10,4.917
"E01032661",6,14.553
"E01032573",7,11.533
"E01022582",9,8.1
"E01021977",3,33.081
"E01021992",4,23.034
